#;Project;Short_ID;Project Folder Name;Field folder name;Flight Path Name;Location of field plot;Type of flight;Frequency;Drone Model;Flight Height;Flight Speed;Side Overlap;Front Overlap;Camera Angle;Flight Pattern;Flight Path Angle;Ortho GSD;Oblique GSD;Flight Length;Ortho GSD;Oblique GSD;1_flight path;2_1_pix4d path
7;DiversityOats;Diversity;DiversityOats;DiversityOats;25-DiversityOats-MS-30m-85-80.kmz;Vollebekk;MS;Bi-weekly;Mavic 3M;30m;2,00;85;80;Auto;Ortho;258;30;30;00:08:50;1,38;;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\MS\
19;DiversityOats;Diversity;DiversityOats;DiversityOats;25-DiversityOats-Oblique-20m-75-70.kmz;Vollebekk;3D;Bi-weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;258;;;00:11:46;0,71;1,01;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\3D\
10;DLT-Farming;RyeGrass;DLT-Farming;RyeGrass;25-DLTFarming-MS-20m-85-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;242;;;00:10:56;0,92;;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\
22;DLT-Farming;RyeGrass;DLT-Farming;RyeGrass;25-DLTFarming-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;242;;;00:06:08;0,71;1,01;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\
2;Gene2Bread;Gene2Bread;Gene2Bread;G2BOatFrontiers;25-G2BOatFrontiers-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;254;;;00:05:27;0,71;1,01;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\3D\
14;Gene2Bread;Gene2Bread;Gene2Bread;G2BOatFrontiers;25-G2BOatFrontiers-MS-20m-85-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;253;;;00:09:05;0,92;;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\MS\
8;OatFrontiers;Frontiers;DiversityOats;G2BOatFrontiers;25-G2BOatFrontiers-Oblique-20m-75-70.kmz;Vollebekk;3D;Bi-weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;254;;;00:05:27;0,71;1,01;P:\PheNo\DiversityOats\1_flights\G2BOatFrontiers\3D\;P:\PheNo\DiversityOats\2_1_pix4d\G2BOatFrontiers\3D\
20;OatFrontiers;Frontiers;DiversityOats;G2BOatFrontiers;25-G2BOatFrontiers-MS-20m-85-80.kmz;Vollebekk;MS;Bi-weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;253;;;00:09:05;0,92;;P:\PheNo\DiversityOats\1_flights\G2BOatFrontiers\MS\;P:\PheNo\DiversityOats\2_1_pix4d\G2BOatFrontiers\MS\
12;Proteinbar - E166;E166;ProteinBar;ProBarE166;25-E166-MS-30m-85-80.kmz;Kjerringjordet;MS;Weekly;Mavic 3M;30m;2,00;85;80;Auto;Ortho;67;;;00:02:39;;;P:\PheNo\ProteinBar\1_flights\ProBarE166\MS\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarE166\MS\
24;Proteinbar - E166;E166;ProteinBar;ProBarE166;25-E166-Oblique-20m-85-80.kmz;Kjerringjordet;3D;Weekly;Mavic 3M;20m;4,25;85;80;Auto Oblique;Oblique;67;;;#VERDI!;;;P:\PheNo\ProteinBar\1_flights\ProBarE166\3D\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarE166\3D\
11;Proteinbar - Pilot;Pilot;ProteinBar;ProBarPilot;25-Pilot-30m-MS-70-75.kmz;Kjerringjordet;MS;Weekly;Mavic 3M;30m;2,00;70;75;Auto;Ortho;279;;;00:15:37;;;P:\PheNo\ProteinBar\1_flights\ProBarPilot\MS\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarPilot\MS\
23;Proteinbar - Pilot;Pilot;ProteinBar;ProBarPilot;25-Pilot-Oblique-30m-70-75.kmz;Kjerringjordet;3D;Weekly;Matrice 4T;30m;8,06;70;75;Auto Oblique;Oblique;281;;;00:09:53;0,54;0,75;P:\PheNo\ProteinBar\1_flights\ProBarPilot\3D\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarPilot\3D\
6;ProteinBar - Søråsjordet;Sørår;ProteinBar;ProBarSørås;25-Søråsjordet-MS-30m-80-80.kmz;Søråsjordet;MS;Weekly;Mavic 3M;30m;2,00;80;80;Auto;Ortho;293;;;00:14:02;1,38;;P:\PheNo\ProteinBar\1_flights\ProBarSørås\MS\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarSørås\MS\
18;ProteinBar - Søråsjordet;Sørår;ProteinBar;ProBarSørås;25-Søråsjordet-Oblique-20m-75-70.kmz;Søråsjordet;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;293;;;00:17:55;0,71;1,01;P:\PheNo\ProteinBar\1_flights\ProBarSørås\3D\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarSørås\3D\
5;ProteinBar - Vollebekk;ProBarVoll;ProteinBar;ProBarVoll;25-ProBarVoll-MS-20m-80-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;80;80;Auto;Ortho;241;;;00:08:51;0,92;;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\MS\
17;ProteinBar - Vollebekk;ProBarVoll;ProteinBar;ProBarVoll;25-ProBarVoll-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;243;;;00:06:32;0,71;1,01;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\
3;RobOat;RobOat;RobOat;RobOat;25-RobOat-12m-MS-85-80.kmz;Vollebekk;MS;Every third day;Mavic 3M;12m;1,08;85;80;Auto;Ortho;151;;;00:10:28;;;P:\PheNo\RobOat\1_flights\RobOat\MS\;P:\PheNo\RobOat\2_1_pix4d\RobOat\MS\
15;RobOat;RobOat;RobOat;RobOat;25-RobOat-20m-Oblique-80-85.kmz;Vollebekk;3D;Every third day;Matrice 4T;20m;4,60;80;85;Auto Oblique;Oblique;152;;;00:07:15;;;P:\PheNo\RobOat\1_flights\RobOat\3D\;P:\PheNo\RobOat\2_1_pix4d\RobOat\3D\
26;RobOat;RobOat;RobOat;RobOat;25-RobOat-30m-Thermal-80-85.kmz;Vollebekk;Thermal;Every third day;Matrice 4T;30m;2,00;80;85;Auto;Ortho;152;;;00:02:57;;;P:\PheNo\RobOat\1_flights\RobOat\Thermal\;P:\PheNo\RobOat\2_1_pix4d\RobOat\Thermal\
1;SmartWheat - DroughtBOX;SmartBox;SmartWheat;SmartWheatBox;25-SmartWheatBox-MS-20m-85-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;242;;;00:02:52;0,92;;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\MS\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\MS\
13;SmartWheat - DroughtBOX;SmartBox;SmartWheat;SmartWheatBox;25-SmartWheatBox-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;1,79;70;75;Auto Oblique;Oblique;333;;;00:11:45;0,71;1,01;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\3D\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\3D\
25;SmartWheat - DroughtBOX;SmartBox;SmartWheat;SmartWheatBox;25-SmartWheatBox-Thermal-20m-80-85.kmz;Vollebekk;Thermal;Weekly;Matrice 4T;20m;2,00;85;80;Auto;Ortho;242;;;00:02:54;2;;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\Thermal\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\Thermal\
;SmartWheat - DroughtBOX;SmartBox;SmartWheat;SmartWheatBox;25-SmartWheatBox-RGB-12m-80-85.kmz;Vollebekk;RGB;;Matrice 4T;12m;2,00;85;80;Auto;Ortho;62;;;00:02:22;;;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\RGB\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\RGB\
9;SmartWheat - Graminor;SmartGram;SmartWheat;SmartWheatGram;25-SmartWheatGram-MS-30m-80-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;30m;2,00;80;80;Auto;Ortho;242;;;00:11:03;1,38;;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\MS\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\MS\
21;SmartWheat - Graminor;SmartGram;SmartWheat;SmartWheatGram;25-SmartWheatGram-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;22m;7,09;75;70;Auto Oblique;Oblique;243;;;00:13:35;0,71;1,01;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\3D\
28;SmartWheat - Graminor;SmartGram;SmartWheat;SmartWheatGram;25-SmartWheatGram-Thermal-20m-75-70.kmz;Vollebekk;Thermal;Weekly;Matrice 4T;50m;4,00;75;70;Auto;Ortho;152;;;00:04:15;;;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\Thermal\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\Thermal\
29;SmartWheat - Polytunnel;SmartTunnel;SmartWheat;SmartWheatTunnel;;Vollebekk;;Weekly;;;;;;Auto Oblique;Oblique;;;;#VERDI!;;;P:\PheNo\SmartWheat\1_flights\SmartWheatTunnel\\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatTunnel\\
30;SmartWheat - Polytunnel;SmartTunnel;SmartWheat;SmartWheatTunnel;;Vollebekk;;Weekly;;;;;;Auto Oblique;Oblique;;;;#VERDI!;;;P:\PheNo\SmartWheat\1_flights\SmartWheatTunnel\\;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatTunnel\\
4;Soldeling i Landbruk;Soldeling;Soldeling;Soldeling;25-Soldeling-MS-30m-80-85.kmz;Kjerringjordet;MS;Weekly;Mavic 3M;30m;1,00;80;85;Auto;Ortho;272;;;00:06:03;;;P:\PheNo\Soldeling\1_flights\Soldeling\MS\;P:\PheNo\Soldeling\2_1_pix4d\Soldeling\MS\
16;Soldeling i Landbruk;Soldeling;Soldeling;Soldeling;25-Soldeling-Oblique-20m-70-75.kmz;Kjerringjordet;3D;Weekly;Matrice 4T;20m;7,67;70;75;Auto Oblique;Oblique;267;;;00:05:02;;;P:\PheNo\Soldeling\1_flights\Soldeling\3D\;P:\PheNo\Soldeling\2_1_pix4d\Soldeling\3D\
27;Soldeling i Landbruk;Soldeling;Soldeling;Soldeling;25-Soldeling-Thermal-30m-80-85.kmz;Kjerringjordet;Thermal;Weekly;Matrice 4T;30m;2,00;80;85;Auto;Ortho;272;;;00:03:03;2;;P:\PheNo\Soldeling\1_flights\Soldeling\Thermal\;P:\PheNo\Soldeling\2_1_pix4d\Soldeling\Thermal\
31;Vollebekk;Vollebekk;Vollebekk;Vollebekk;25-Vollebekk-Ortho-120m-85-80.kmz;Vollebekk;RGB;Twice the season;Matrice 4T;120m;12,28;75;70;Auto;Ortho;168;;;00:09:00;;;P:\PheNo\Vollebekk\1_flights\Vollebekk\RGB\;P:\PheNo\Vollebekk\2_1_pix4d\Vollebekk\RGB\
33;RobOat;RobOat;RobOat;RobOat;25-RobOat-MS_FIELD;Vollebekk;MS_FIELD;Every third day;Mavic 3M;;;;;Auto;Ortho;0;;;00:00:00;;;P:\PheNo\RobOat\1_flights\RobOat\MS_FIELD\;P:\PheNo\RobOat\2_1_pix4d\RobOat\MS_FIELD\
34;RobOat;RobOat;RobOat;RobOat;25-RobOat-THERM_FIELD;Vollebekk;THERMAL_FIELD;;Matrice 4T;;;;;;;;;;;;;P:\PheNo\RobOat\1_flights\RobOat\THERMAL_FIELD\;P:\PheNo\RobOat\2_1_pix4d\RobOat\THERMAL_FIELD\
35;SmartWheat - DroughtBOX;SmartBox;SmartWheat - DroughtBOX;SmartWheatBox;25-SmartWheatBox-THERM_FIELD;Vollebekk;THERMAL_FIELD;;Matrice 4T;;;;;;;;;;;;;P:\PheNo\SmartWheat - DroughtBOX\1_flights\SmartWheatBox\THERMAL_FIELD\;P:\PheNo\SmartWheat - DroughtBOX\2_1_pix4d\SmartWheatBox\THERMAL_FIELD\